Name,Price,Average Rating,No of Ratings,Image URL,Product URL
Non,Non,0,Non,NA,https://www.amazon.in//sspa/click?ie=UTF8&amp;spc=MTo1OTQ1NzA0Mzc2Mzg2OTI3OjE2Nzk1NzE0OTc6c3BfYXRmOjIwMDYyNjI2Mzk2Nzk4OjowOjo&amp;url=%2FFujitsu-400Nits-Graphics-Warranty-4ZR1H03553%2Fdp%2FB09Z9JRCK1%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dhp%2Bpavilion%2Blaptop%26qid%3D1679571497%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Non,Non,0,Non,NA,https://www.amazon.in//sspa/click?ie=UTF8&amp;spc=MTo1OTQ1NzA0Mzc2Mzg2OTI3OjE2Nzk1NzE0OTc6c3BfYXRmOjIwMDc4NzU4NTEyNjk4OjowOjo&amp;url=%2FAcer-12-Cores-Processor-Graphics-A515-57G%2Fdp%2FB0B5KTSVTG%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dhp%2Bpavilion%2Blaptop%26qid%3D1679571497%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
        Hp Pavilion X360 11Th Gen Intel Core I3 14 Inches Fhd Multitouch 2-in-1 Laptop(8Gb Ram/512Gb Ssd/B&amp;O/Windows 11 Home/Fpr/Backlit Kb/Pen/Alexa/Uhd Graphics/Ms Office/Natural Silver/1.52Kg) 14-Dy0207Tu       ,"53,879",4.4,61,https://m.media-amazon.com/images/I/41bGmMz-crL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//Pavilion-Multitouch-Windows-Graphics-14-Dy0207Tu/dp/B09VT6BVJF/ref=sr_1_3?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-3
"        HP Pavilion 14 12th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&amp;O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver, 14-dv2014TU       ","66,490",4.2,193,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41FgAAOEZTL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2014TU/dp/B0B1M9HYBT/ref=sr_1_4?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-4
"        HP Pavilion 14, AMD Ryzen 5-5625U 8GB RAM/512GB SSD 14inches/35.6 cm FHD, IPS Micro-Edge Display/Radeon Graphics/Alexa/B&amp;O Audio/Fast Charge/Win11 Home/MS Office 2021, 14-Ec1003au Windows 11 Home       ","52,490",4.1,615,https://m.media-amazon.com/images/I/41FgRYEFDdL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-14inches-Micro-Edge-14-Ec1003au/dp/B09V1GMW72/ref=sr_1_5?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-5
"        HP Pavilion AMD Ryzen 7 5800H 15.6 inches(39.6cm) FHD Gaming Laptop (16GB/512GB SSD/Windows 11 Home/NVIDIA RTX 3050 Graphics/MS Office/Shadow Black &amp; Ultra Violet/1.98 Kg), 15-ec2146AX       ","75,990",4.2,93,https://m.media-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-Windows-Graphics-15-ec2146AX/dp/B09MF6F4GH/ref=sr_1_6?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-6
"        Hp Pavilion Gaming 15-Amd Ryzen 5 15.6 Inches Micro-Edge, Ips, Anti-Glare, Fhd Display (8Gb Ram/512 Gb Ssd/144 Hz/ Rtx 3050Ti 4Gb Graphics/B&amp;O Audio/Windows 11 Home/Ms Office)15-Ec2048Ax, Shadow Black       ","67,490",3.9,41,https://m.media-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//Pavilion-Micro-Edge-Anti-Glare-Graphics-15-Ec2048Ax/dp/B09SQ2KK4B/ref=sr_1_7?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-7
"        HP Pavilion 15 AMD Ryzen 5-5625U, 16GB RAM/512GB SSD 15.6inch(39.6 cm) FHD IPS Micro-Edge Display/Radeon Graphics/Backlit Kb/Windows 11 Home/Alexa/B&amp;O Audio/Office 2021,15-Eh2024au       ","60,490",4.0,74,https://m.media-amazon.com/images/I/41R2RA5Pq7L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-15-6inch-Micro-Edge-15-Eh2024au/dp/B09V1DZDRN/ref=sr_1_8?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-8
"        HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphics/B&amp;O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver,14-dv2015TU       ","84,990",4.3,50,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/414-+D0tn4L._SY300_SX300_.jpg,https://www.amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2015TU/dp/B0B1MBFJJ2/ref=sr_1_9?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-9
"        HP Pavilion 14 12th Gen Intel Core i5 8GB RAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel Iris Xe Graphics/B&amp;O/Win 11/Alexa Built-in/Backlit KB/MSO 2021/Natural Silver, 14-dv2053TU       ","62,490",4.1,248,https://m.media-amazon.com/images/I/41Fkx0gpdgL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2053TU/dp/B0B1MDHJCC/ref=sr_1_10?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-10
Non,Non,0,Non,NA,https://www.amazon.in//sspa/click?ie=UTF8&amp;spc=MTo1OTQ1NzA0Mzc2Mzg2OTI3OjE2Nzk1NzE0OTc6c3BfbXRmOjIwMTI1NTUwODU5Nzk4OjowOjo&amp;url=%2FMSI-Stealth-i7-13620H-Windows-A13VE-034IN%2Fdp%2FB0BTVVYWQZ%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dhp%2Bpavilion%2Blaptop%26qid%3D1679571497%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Non,Non,0,Non,NA,https://www.amazon.in//sspa/click?ie=UTF8&amp;spc=MTo1OTQ1NzA0Mzc2Mzg2OTI3OjE2Nzk1NzE0OTc6c3BfbXRmOjIwMTI1NTU5NzkxNTk4OjowOjo&amp;url=%2FMSI-i7-12650H-Windows-GeForce-B12VEK-400IN%2Fdp%2FB0BW9HR32C%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dhp%2Bpavilion%2Blaptop%26qid%3D1679571497%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"        HP Pavilion 15 AMD Ryzen 5-5625U 8Gb Ram/512Gb Ssd 15.6 Inches Laptop Fhd IPS Micro-Edge Display/Radeon Graphics/Windows 11 Home/Backlit Kb/Alexa/B&amp;O Audio/Ms Office 2021, 15-Eh2018Au, Natural Silver       ","55,390",4.2,80,https://m.media-amazon.com/images/I/41KWqUTiKLL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//Pavilion-5-5625U-Micro-Edge-Graphics-15-Eh2018Au/dp/B09V1F51SF/ref=sr_1_13?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-13
"        HP Pavilion 15 12Th Gen Intel Core I5 16Gb Sdram/512Gb Ssd 15.6 Inches Fhd,IPS,Anti-Glare,Eyesafe Display/Alexa/Backlit Kb/Fpr/Windows 11 Home/Mso 2021/1.75Kg, 15-Eg2035Tu, Fog Blue       ","71,990",3.9,53,https://m.media-amazon.com/images/I/41L1b5qO8PL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//Pavilion-Anti-Glare-Eyesafe-Display-15-Eg2035Tu/dp/B09Y985TSS/ref=sr_1_14?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-14
"        HP Pavilion Plus, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Creator Laptop Eye Safe Display/Intel Iris Xe Graphics/Backlit KB/B&amp;O/FPR/Win 11/Alexa/MSO,14-eh0021TU Silver       ","77,990",3.8,36,https://m.media-amazon.com/images/I/41b2tYEIX0L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in//HP-Pavilion-Display-Graphics-14-eh0021TU/dp/B0B3N7GVS6/ref=sr_1_15?keywords=hp+pavilion+laptop&amp;qid=1679571497&amp;sr=8-15
