Name,Price,Average Rating,No of Ratings,Image URL,Product URL
HP Pavilion x360 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0137TU Thin and Light Laptop,57490,4.4,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/y/b/m/14-ek0137tu-thin-and-light-laptop-hp-original-imaghqbze3zrxx6t.jpeg?q=70,https://www.flipkart.com/hp-pavilion-x360-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-14-ek0137tu-thin-light-laptop/p/itmbf475dda4cf54?pid=COMGH2NJCZXMBHEG&amp;lid=LSTCOMGH2NJCZXMBHEGGDQLJM&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_1&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGH2NJCZXMBHEG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion x360 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0088TU Thin and Light Laptop,92890,3.7,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/d/r/t/14-ek0088tu-thin-and-light-laptop-hp-original-imagh89bdga9fcys.jpeg?q=70,https://www.flipkart.com/hp-pavilion-x360-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-ek0088tu-thin-light-laptop/p/itmfa7cc549a3d71?pid=COMGH2NJZ9SRVAQE&amp;lid=LSTCOMGH2NJZ9SRVAQEW66IK9&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_2&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGH2NJZ9SRVAQE.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion x360 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0078TU Thin and Light Laptop,71990,4.9,7 ,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/b/e/s/14-ek0092tu-thin-and-light-laptop-hp-original-imaghubrzsyhm6wf.jpeg?q=70,https://www.flipkart.com/hp-pavilion-x360-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-ek0078tu-thin-light-laptop/p/itm6c0d2c3e15f31?pid=COMGH2NJXPGRZJ8V&amp;lid=LSTCOMGH2NJXPGRZJ8VE1SI3V&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_3&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGH2NJXPGRZJ8V.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion x360 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0072TU Thin and Light Laptop,76898,3.7,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/c/o/14-ek0072tu-thin-and-light-laptop-hp-original-imaghqbpkcggcqh4.jpeg?q=70,https://www.flipkart.com/hp-pavilion-x360-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-ek0072tu-thin-light-laptop/p/itmd5b1c63374933?pid=COMGH2NJZQYBNZAX&amp;lid=LSTCOMGH2NJZQYBNZAXVNZEC5&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_4&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGH2NJZQYBNZAX.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion x360 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dw1037TU 2 in 1 Laptop,55500,4.3,148 ,https://rukminim1.flixcart.com/image/416/416/kevpwnk0/computer/k/u/3/hp-original-imafvgsb3zhg3g2k.jpeg?q=70,https://www.flipkart.com/hp-pavilion-x360-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14-dw1037tu-2-1-laptop/p/itmb29ab5118753d?pid=COMFZH7QGW6EFJNN&amp;lid=LSTCOMFZH7QGW6EFJNNXMV6VP&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_5&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMFZH7QGW6EFJNN.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Laptop,52490,4.3,186 ,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/d/w/i/-original-imagmnmsbhuxbazf.jpeg?q=70,https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-14-ec1003au-thin-light-laptop/p/itm1a257206fe320?pid=COMGCGSTVVGKQTVA&amp;lid=LSTCOMGCGSTVVGKQTVAJVF572&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_6&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGCGSTVVGKQTVA.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2015TU Thin and Light Laptop,84990,4.9,0,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/2/v/m/-original-imagmnmr59pmudx6.jpeg?q=70,https://www.flipkart.com/hp-pavilion-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-14-dv2015tu-thin-light-laptop/p/itma371be6132d97?pid=COMGEG3ZZGWA8XE2&amp;lid=LSTCOMGEG3ZZGWA8XE2JOS971&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_7&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGEG3ZZGWA8XE2.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Laptop,66490,4.4,372 ,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/2/v/m/-original-imagmnmr59pmudx6.jpeg?q=70,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmf2da8088aa614?pid=COMGEG3ZNYZDAYVJ&amp;lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_8&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGEG3ZNYZDAYVJ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1005AU Thin and Light Laptop,57990,4.2,18 ,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/h/x/7/14-ec1005au-thin-and-light-laptop-hp-original-imaghusjswsafhcu.jpeg?q=70,https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-14-ec1005au-thin-light-laptop/p/itmec3d94a599fc0?pid=COMGHQ3NWPPAPYF4&amp;lid=LSTCOMGHQ3NWPPAPYF4UDJA9S&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_9&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGHQ3NWPPAPYF4.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
HP Pavilion Plus Creator OLED (2023) Intel H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-eh0037TU Thin and Light Laptop,79990,4.5,4 ,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/e/l/8/14-eh0021tu-thin-and-light-laptop-hp-original-imaghubybwgeghrt.jpeg?q=70,https://www.flipkart.com/hp-pavilion-plus-creator-oled-2023-intel-h-series-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-eh0037tu-thin-light-laptop/p/itm3ed4400a9ba17?pid=COMGH2NJNNQH3NUN&amp;lid=LSTCOMGH2NJNNQH3NUNCCZLE2&amp;marketplace=FLIPKART&amp;q=hp+pavilion+laptop&amp;store=6bo%2Fb5g&amp;srno=s_1_10&amp;otracker=search&amp;fm=organic&amp;iid=5ab7009c-363a-4185-8cc3-400c31617717.COMGH2NJNNQH3NUN.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=jbmjg85gnk0000001679571498176&amp;qH=e261dde8782c61dc
